0001;Banco Central de Venezuela 
0002;Banco Industrial de Venezuela, C.A. Banco Universal 
0003;Banco de Venezuela S.A.C.A. Banco Universal 
0004;Venezolano de Crédito, S.A. Banco Universal 
0005;Banco Mercantil, C.A S.A.C.A. Banco Universal 
0006;Banco Provincial, S.A. Banco Universal 
0007;Bancaribe C.A. Banco Universal 
0008;Banco Exterior C.A. Banco Universal 
0009;Banco Occidental de Descuento, Banco Universal C.A. 
0010;Banco Caroní C.A. Banco Universal 
0011;Banesco Banco Universal S.A.C.A. 
0012;Banco Sofitasa Banco Universal 
0013;Banco Plaza Banco Universal 
0014;Banco de la Gente Emprendedora C.A. 
0015;Banco del Pueblo Soberano, C.A. Banco de Desarrollo 
0016;BFC Banco Fondo Común C.A Banco Universal 
0017;100% Banco, Banco Universal C.A. 
0018;DelSur Banco Universal, C.A. 
0019;Banco del Tesoro, C.A. Banco Universal 
0020;Banco Agrícola de Venezuela, C.A. Banco Universal 
0021;Bancrecer, S.A. Banco Microfinanciero 
0022;Mi Banco Banco Microfinanciero C.A. 
0023;Banco Activo, C.A. Banco Universal 
0024;Bancamiga Banco Microfinanciero C.A. 
0025;Banco Internacional de Desarrollo, C.A. Banco Universal 
0026;Banplus Banco Universal, C.A. 
0027;Banco Bicentenario Banco Universal C.A. 
0028;Banco Espirito Santo, S.A. Sucursal Venezuela B.U. 
0029;Banco de la Fuerza Armada Nacional Bolivariana, B.U. 
0030;Citibank N.A. 
0031;Banco Nacional de Crédito, C.A. Banco Universal 
0032;Instituto Municipal de Crédito Popular 
0134;Banesco Banco Universal S.A.C.A.  
0137;Banco Sofitasa, Banco Universal   
0138;Banco Plaza, Banco Universal
0146;Banco de la Gente Emprendedora C.A
0151;BFC Banco Fondo Común C.A. Banco Universal 
0156;100% Banco, Banco Universal C.A.
0157;DelSur Banco Universal C.A.
0163;Banco del Tesoro, C.A. Banco Universal
0166;Banco Agrícola de Venezuela, C.A. Banco Universal  
0168 ;Bancrecer, S.A. Banco Microfinanciero   
0169;Mi Banco, Banco Microfinanciero C.A.  
0171;Banco Activo, Banco Universal  
0172;Bancamica, Banco Microfinanciero C.A.
0173;Banco Internacional de Desarrollo, C.A. Banco Universal  
0174;Banplus Banco Universal, C.A
0175;Banco Bicentenario del Pueblo de la Clase Obrera, Mujer y Comunas B.U.
0176;Novo Banco, S.A. Sucursal Venezuela Banco Universal    
0177;Banco de la Fuerza Armada Nacional Bolivariana, B.U.
0190;Citibank N.A.
0191;Banco Nacional de Crédito, C.A. Banco Universal
0601;Instituto Municipal de Crédito Popular
